task_id,status,start_time,end_time,error_message
53cc05ed-87ae-4e71-8ede-d02acb1985db,FAILED,2026-08-14T00:44:57.037822,2026-08-14T00:45:48.479972,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.109)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff65d02abb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff65d02ac10+15210]
	chromedriver!(No symbol) [0x7ff65cb55d6d]
	chromedriver!(No symbol) [0x7ff65cb2cc52]
	chromedriver!(No symbol) [0x7ff65cbe10c6]
	chromedriver!(No symbol) [0x7ff65cbfe4f2]
	chromedriver!(No symbol) [0x7ff65cba37cc]
	chromedriver!(No symbol) [0x7ff65cba46f3]
	chromedriver!GetHandleVerifier [0x7ff65d64b79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff65d645ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff65d66bcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff65d048ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff65d05147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff65d034d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff65d034ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff65d017d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ff80857ccb7+17]
	ntdll!RtlUserThreadStart [0x7ff80a1cad6c+2c]
"
d1da0a14-122d-4c37-83f8-a26d78b4fe84,FAILED,2026-08-14T00:44:41.217252,2026-08-14T00:45:52.787835,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.109)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff65d02abb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff65d02ac10+15210]
	chromedriver!(No symbol) [0x7ff65cb55d6d]
	chromedriver!(No symbol) [0x7ff65cb2cc52]
	chromedriver!(No symbol) [0x7ff65cbe10c6]
	chromedriver!(No symbol) [0x7ff65cbfe4f2]
	chromedriver!(No symbol) [0x7ff65cba37cc]
	chromedriver!(No symbol) [0x7ff65cba46f3]
	chromedriver!GetHandleVerifier [0x7ff65d64b79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff65d645ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff65d66bcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff65d048ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff65d05147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff65d034d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff65d034ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff65d017d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ff80857ccb7+17]
	ntdll!RtlUserThreadStart [0x7ff80a1cad6c+2c]
"
76eb8d7f-fbd7-483a-8430-944dd47e909b,FAILED,2026-08-14T00:49:43.453734,2026-08-14T00:49:50.432987,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.109)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff65d02abb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff65d02ac10+15210]
	chromedriver!(No symbol) [0x7ff65cb55d6d]
	chromedriver!(No symbol) [0x7ff65cb2cc52]
	chromedriver!(No symbol) [0x7ff65cbe10c6]
	chromedriver!(No symbol) [0x7ff65cbfe4f2]
	chromedriver!(No symbol) [0x7ff65cba37cc]
	chromedriver!(No symbol) [0x7ff65cba46f3]
	chromedriver!GetHandleVerifier [0x7ff65d64b79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff65d645ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff65d66bcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff65d048ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff65d05147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff65d034d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff65d034ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff65d017d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ff80857ccb7+17]
	ntdll!RtlUserThreadStart [0x7ff80a1cad6c+2c]
"
b4b9c6a0-19c7-45cd-ad76-10e9aa270899,FAILED,2026-08-14T00:49:37.270270,2026-08-14T00:49:59.239391,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.109)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff65d02abb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff65d02ac10+15210]
	chromedriver!(No symbol) [0x7ff65cb55d6d]
	chromedriver!(No symbol) [0x7ff65cb2cc52]
	chromedriver!(No symbol) [0x7ff65cbe10c6]
	chromedriver!(No symbol) [0x7ff65cbfe4f2]
	chromedriver!(No symbol) [0x7ff65cba37cc]
	chromedriver!(No symbol) [0x7ff65cba46f3]
	chromedriver!GetHandleVerifier [0x7ff65d64b79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff65d645ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff65d66bcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff65d048ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff65d05147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff65d034d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff65d034ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff65d017d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ff80857ccb7+17]
	ntdll!RtlUserThreadStart [0x7ff80a1cad6c+2c]
"
4b28e4e7-c983-42f9-85b5-6761a14448f8,SUCCESS,2026-08-14T00:50:03.219795,2026-08-14T01:06:32.932556,
7f628e06-bf3b-4374-aae4-893f364bc732,SUCCESS,2026-08-14T11:19:45.491755,2026-08-14T11:28:50.621553,
131953a3-0f48-4c4f-9759-fff354faeb0c,FAILED,2026-08-14T11:41:36.566545,2026-08-14T11:41:36.574841,"unindent does not match any outer indentation level (01_scrape_products.py, line 85)"
69558050-f080-45a8-b92c-e4ba98abf45a,FAILED,2026-08-14T12:15:25.175828,2026-08-14T12:15:25.207053,"unindent does not match any outer indentation level (01_scrape_products.py, line 115)"
adb0ddc8-675c-4a2f-9143-2ac74107bc2c,FAILED,2026-08-14T12:18:37.928777,2026-08-14T12:19:02.454438,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.138)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff61255abb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff61255ac10+15210]
	chromedriver!(No symbol) [0x7ff612085d6d]
	chromedriver!(No symbol) [0x7ff61205cc52]
	chromedriver!(No symbol) [0x7ff6121110c6]
	chromedriver!(No symbol) [0x7ff61212e4f2]
	chromedriver!(No symbol) [0x7ff6120d37cc]
	chromedriver!(No symbol) [0x7ff6120d46f3]
	chromedriver!GetHandleVerifier [0x7ff612b7b79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff612b75ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff612b9bcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff612578ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff61258147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff612564d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff612564ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff612547d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffbc4b4ccb7+17]
	ntdll!RtlUserThreadStart [0x7ffbc5ccad6c+2c]
"
28ca5b7a-ed51-4d2e-aedc-c0ed771cffdc,SUCCESS,2026-08-14T12:19:15.349218,2026-08-14T12:27:04.478157,
